time,blink_count,ear,fatigue_score,stress_score
2026-03-15 22:17:12,21,0.168,100,25
2026-03-15 22:17:12,21,0.168,100,25
2026-03-15 22:17:12,21,0.175,100,25
2026-03-15 22:17:12,21,0.176,100,25
2026-03-15 22:17:12,21,0.175,100,25
2026-03-15 22:17:12,21,0.176,100,25
2026-03-15 22:17:12,21,0.174,100,25
2026-03-15 22:17:12,21,0.174,100,25
2026-03-15 22:17:12,21,0.176,100,25
2026-03-15 22:17:12,21,0.174,100,25
2026-03-15 22:17:13,21,0.18,100,26
2026-03-15 22:17:13,21,0.181,100,26
2026-03-15 22:17:13,21,0.181,100,26
2026-03-15 22:17:13,21,0.181,100,26
2026-03-15 22:17:13,21,0.174,100,26
2026-03-15 22:17:13,21,0.174,100,26
2026-03-15 22:17:13,21,0.175,100,26
2026-03-15 22:17:13,21,0.174,100,26
2026-03-15 22:17:13,21,0.192,100,26
2026-03-15 22:17:13,21,0.166,100,26
2026-03-15 22:17:13,21,0.183,100,26
2026-03-15 22:17:13,21,0.166,100,26
2026-03-15 22:17:13,21,0.189,100,26
2026-03-15 22:17:13,21,0.19,100,26
2026-03-15 22:17:13,21,0.06,100,27
2026-03-15 22:17:13,21,0.073,100,27
2026-03-15 22:17:13,21,0.059,100,27
2026-03-15 22:17:13,21,0.17,100,27
2026-03-15 22:17:13,21,0.169,100,27
2026-03-15 22:17:13,21,0.173,100,27
2026-03-15 22:17:13,21,0.175,100,27
2026-03-15 22:17:13,21,0.191,100,27
2026-03-15 22:17:13,21,0.183,100,27
2026-03-15 22:17:13,21,0.184,100,28
2026-03-15 22:17:13,21,0.184,100,28
2026-03-15 22:17:13,21,0.184,100,28
2026-03-15 22:17:14,21,0.055,100,28
2026-03-15 22:17:14,21,0.055,100,28
2026-03-15 22:17:14,21,0.051,100,28
2026-03-15 22:17:14,21,0.062,100,28
2026-03-15 22:17:14,21,0.158,100,28
2026-03-15 22:17:14,21,0.147,100,28
2026-03-15 22:17:14,21,0.172,100,28
2026-03-15 22:17:14,21,0.172,100,28
2026-03-15 22:17:14,21,0.172,100,28
2026-03-15 22:17:14,21,0.184,100,29
2026-03-15 22:17:14,21,0.202,100,29
2026-03-15 22:17:14,21,0.191,100,29
2026-03-15 22:17:14,21,0.198,100,29
2026-03-15 22:17:14,21,0.185,100,29
2026-03-15 22:17:14,21,0.194,100,29
2026-03-15 22:17:14,21,0.179,100,29
2026-03-15 22:17:14,21,0.194,100,29
2026-03-15 22:17:14,21,0.186,100,29
2026-03-15 22:17:14,21,0.182,100,29
2026-03-15 22:17:14,21,0.223,100,29
2026-03-15 22:17:15,21,0.198,100,30
2026-03-15 22:17:15,21,0.218,100,30
2026-03-15 22:17:15,21,0.199,100,30
2026-03-15 22:17:15,21,0.219,100,30
